baseID,geneID,gene.name
G000123,HVAEP1.G000123,HVAEP1-G000123
G000124,HVAEP1.G000124,HVAEP1-G000124
G000125,HVAEP1.G000125,HVAEP1-G000125
G000126,HVAEP1.G000126,HVAEP1-G000126
G000127,HVAEP1.G000127,HVAEP1-G000127
G000128,HVAEP1.G000128,HVAEP1-G000128
G000129,HVAEP1.G000129,HVAEP1-G000129
G000130,HVAEP1.G000130,HVAEP1-G000130
G000131,HVAEP1.G000131,HVAEP1-G000131
G000132,HVAEP1.G000132,HVAEP1-G000132
G000133,HVAEP1.G000133,HVAEP1-G000133
G000134,HVAEP1.G000134,HVAEP1-G000134
G000135,HVAEP1.G000135,HVAEP1-G000135
G000136,HVAEP1.G000136,HVAEP1-G000136
G000137,HVAEP1.G000137,HVAEP1-G000137
G000138,HVAEP1.G000138,HVAEP1-G000138
G000139,HVAEP1.G000139,HVAEP1-G000139
G000140,HVAEP1.G000140,HVAEP1-G000140
G000141,HVAEP1.G000141,HVAEP1-G000141
G000142,HVAEP1.G000142,HVAEP1-G000142
G000143,HVAEP1.G000143,HVAEP1-G000143
G000144,HVAEP1.G000144,HVAEP1-G000144
G000145,HVAEP1.G000145,HVAEP1-G000145
G000146,HVAEP1.G000146,HVAEP1-G000146
G000147,HVAEP1.G000147,HVAEP1-G000147
G000148,HVAEP1.G000148,HVAEP1-G000148
G000149,HVAEP1.G000149,HVAEP1-G000149
G000150,HVAEP1.G000150,HVAEP1-G000150
G000151,HVAEP1.G000151,HVAEP1-G000151
G000152,HVAEP1.G000152,HVAEP1-G000152
G000153,HVAEP1.G000153,HVAEP1-G000153
G000154,HVAEP1.G000154,HVAEP1-G000154
G000155,HVAEP1.G000155,HVAEP1-G000155
G000156,HVAEP1.G000156,HVAEP1-G000156
G000157,HVAEP1.G000157,HVAEP1-G000157
G000158,HVAEP1.G000158,HVAEP1-G000158
G000159,HVAEP1.G000159,HVAEP1-G000159
G000160,HVAEP1.G000160,HVAEP1-G000160
G000161,HVAEP1.G000161,HVAEP1-G000161
G000162,HVAEP1.G000162,HVAEP1-G000162
G000163,HVAEP1.G000163,HVAEP1-G000163
G000164,HVAEP1.G000164,HVAEP1-G000164
G000165,HVAEP1.G000165,HVAEP1-G000165
G000166,HVAEP1.G000166,HVAEP1-G000166
G000167,HVAEP1.G000167,HVAEP1-G000167
G000168,HVAEP1.G000168,HVAEP1-G000168
G000169,HVAEP1.G000169,HVAEP1-G000169
G000170,HVAEP1.G000170,HVAEP1-G000170
G000171,HVAEP1.G000171,HVAEP1-G000171
G000172,HVAEP1.G000172,HVAEP1-G000172
G000173,HVAEP1.G000173,HVAEP1-G000173
G000174,HVAEP1.G000174,HVAEP1-G000174
G000175,HVAEP1.G000175,HVAEP1-G000175
G000176,HVAEP1.G000176,HVAEP1-G000176
G000177,HVAEP1.G000177,HVAEP1-G000177
G000178,HVAEP1.G000178,HVAEP1-G000178
G000179,HVAEP1.G000179,HVAEP1-G000179
G000180,HVAEP1.G000180,HVAEP1-G000180
G000181,HVAEP1.G000181,HVAEP1-G000181
G000182,HVAEP1.G000182,HVAEP1-G000182
G000183,HVAEP1.G000183,HVAEP1-G000183
G000184,HVAEP1.G000184,HVAEP1-G000184
G000185,HVAEP1.G000185,HVAEP1-G000185
G000186,HVAEP1.G000186,HVAEP1-G000186
G000187,HVAEP1.G000187,HVAEP1-G000187
G000188,HVAEP1.G000188,HVAEP1-G000188
G000189,HVAEP1.G000189,HVAEP1-G000189
G000190,HVAEP1.G000190,HVAEP1-G000190
G000191,HVAEP1.G000191,HVAEP1-G000191
G000192,HVAEP1.G000192,HVAEP1-G000192
G000193,HVAEP1.G000193,HVAEP1-G000193
G000194,HVAEP1.G000194,HVAEP1-G000194
G000195,HVAEP1.G000195,HVAEP1-G000195
G000196,HVAEP1.G000196,HVAEP1-G000196
G000197,HVAEP1.G000197,HVAEP1-G000197
G000198,HVAEP1.G000198,HVAEP1-G000198
G000199,HVAEP1.G000199,HVAEP1-G000199
G000200,HVAEP1.G000200,HVAEP1-G000200
G000201,HVAEP1.G000201,HVAEP1-G000201
